Date,Week,Number,
1/4/2016,Mon,621,
1/5/2016,Tue,456,
1/6/2016,Wed,364,
1/7/2016,Thu,321,
1/8/2016,Fri,293,
1/9/2016,Sat,154,
1/10/2016,Sun,171,  
1/11/2016,Mon,439,
1/12/2016,Tue,393,
1/13/2016,Wed,328,
1/14/2016,Thu,339,
1/15/2016,Fri,330,
1/16/2016,Sat,170,
1/17/2016,Sun,181,
1/18/2016,Mon,429,
1/19/2016,Tue,376,
1/20/2016,Wed,356,
1/21/2016,Thu,304,
1/22/2016,Fri,292,
1/23/2016,Sat,148,
1/24/2016,Sun,136,
1/25/2016,Mon,466,
1/26/2016,Tue,369,
1/27/2016,Wed,304,
1/28/2016,Thu,355,
1/29/2016,Fri,261,
1/30/2016,Sat,169,
1/31/2016,Sun,179,
2/1/2016,Mon,307,
2/2/2016,Tue,217,
2/3/2016,Wed,184,
2/4/2016,Thu,153,
2/5/2016,Fri,105,
2/6/2016,Sat,79,
2/7/2016,Sun,40,
2/8/2016,Mon,54,
2/9/2016,Tue,95,
2/10/2016,Wed,109,
2/11/2016,Thu,152,
2/12/2016,Fri,157,
2/13/2016,Sat,219,
2/14/2016,Sun,685,
2/15/2016,Mon,555,
2/16/2016,Tue,437,
2/17/2016,Wed,384,
2/18/2016,Thu,397,
2/19/2016,Fri,352,
2/20/2016,Sat,179,
2/21/2016,Sun,160,
2/22/2016,Mon,481,
2/23/2016,Tue,435,
2/24/2016,Wed,415,
2/25/2016,Thu,391,
2/26/2016,Fri,383,
2/27/2016,Sat,190,
2/28/2016,Sun,158,
2/29/2016,Mon,505,
3/1/2016,Tue,393,
3/2/2016,Wed,390,
3/3/2016,Thu,351,
3/4/2016,Fri,399,
3/5/2016,Sat,194,
3/6/2016,Sun,156,
3/7/2016,Mon,462,
3/8/2016,Tue,374,
3/9/2016,Wed,373,
3/10/2016,Thu,395,
3/11/2016,Fri,344,
3/12/2016,Sat,182,
3/13/2016,Sun,173,
3/14/2016,Mon,520,
3/15/2016,Tue,378,
3/16/2016,Wed,374,
3/17/2016,Thu,375,
3/18/2016,Fri,345,
3/19/2016,Sat,202,
3/20/2016,Sun,169,
3/21/2016,Mon,528,
3/22/2016,Tue,416,
3/23/2016,Wed,338,
3/24/2016,Thu,376,
3/25/2016,Fri,359,
3/26/2016,Sat,163,
3/27/2016,Sun,149,
3/28/2016,Mon,512,
3/29/2016,Tue,412,
3/30/2016,Wed,337,
3/31/2016,Thu,309,
4/1/2016,Fri,273,
4/2/2016,Sat,141,
4/3/2016,Sun,133,
4/4/2016,Mon,255,
4/5/2016,Tue,617,
4/6/2016,Wed,414,
4/7/2016,Thu,418,
4/8/2016,Fri,340,
4/9/2016,Sat,174,
4/10/2016,Sun,191,
